"Name","Start","End","Location","CID"
"キティ・ホワイト","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","1"
"ミミィ・ホワイト","2012/07/01 13:15:00","2012/07/01 13:35:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ミミィ・ホワイト","2012/07/01 14:15:00","2012/07/01 14:35:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ダニエル・スター","2012/07/01 12:30:00","2012/07/01 13:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","3"
"ダニエル・スター","2012/07/01 13:30:00","2012/07/01 14:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","3"
"メアリー・ホワイト","2012/07/01 12:30:00","2012/07/01 12:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","5"
"ルビー","2012/07/01 16:30:00","2012/07/01 16:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","8"
"サフィー","2012/07/01 16:30:00","2012/07/01 16:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","9"
"サフィー","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","9"
"ガーネット","2012/07/01 16:30:00","2012/07/01 16:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","10"
"ガーネット","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","10"
"ラブラ","2012/07/01 16:30:00","2012/07/01 16:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","11"
"ももうさ＆はなうさ","2012/07/01 11:00:00","2012/07/01 11:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","14"
"ももうさ＆はなうさ","2012/07/01 13:00:00","2012/07/01 13:30:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","14"
"ももうさ＆はなうさ","2012/07/01 14:00:00","2012/07/01 14:30:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","14"
"ももうさ＆はなうさ","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","14"
"マイメロディ","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","16"
"クロミ","2012/07/01 12:00:00","2012/07/01 12:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","17"
"クロミ","2012/07/01 13:40:00","2012/07/01 14:00:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","17"
"クロミ","2012/07/01 17:30:00","2012/07/01 17:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","17"
"シナモン","2012/07/01 15:05:00","2012/07/01 15:25:00","ﾌｰﾄﾞﾏｼﾝﾚｽﾄﾗﾝ(4F)","18"
"シナモン","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","18"
"シナモン","2012/07/01 17:00:00","2012/07/01 17:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","18"
"モカ","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","19"
"モカ","2012/07/01 17:00:00","2012/07/01 17:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","19"
"エスプレッソ","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","20"
"エスプレッソ","2012/07/01 17:00:00","2012/07/01 17:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","20"
"カプチーノ","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","21"
"カプチーノ","2012/07/01 17:00:00","2012/07/01 17:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","21"
"ｼﾌｫﾝ","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","22"
"ｼﾌｫﾝ","2012/07/01 17:00:00","2012/07/01 17:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","22"
"ミルク","2012/07/01 15:30:00","2012/07/01 15:50:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","23"
