"End","CID","Location","Name","Start"
"2017/07/01 12:30:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2017/07/01 12:00:00"
"2017/07/01 14:00:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2017/07/01 13:30:00"
"2017/07/01 15:30:00","1","館外（他）","キティ・ホワイト","2017/07/01 15:00:00"
"2017/07/01 16:00:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2017/07/01 15:30:00"
"2017/07/01 18:30:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2017/07/01 18:00:00"
"2017/07/01 12:00:00","3","３Ｆ（３Ｆ）","ダニエル・スター","2017/07/01 11:30:00"
"2017/07/01 15:30:00","3","館外（他）","ダニエル・スター","2017/07/01 15:00:00"
"2017/07/01 18:30:00","3","３Ｆ（３Ｆ）","ダニエル・スター","2017/07/01 18:00:00"
"2017/07/01 14:00:00","86","３Ｆ（３Ｆ）","ぼんぼんりぼん","2017/07/01 13:30:00"
"2017/07/01 15:30:00","49","３Ｆ（３Ｆ）","ミルキーミミ","2017/07/01 15:00:00"
"2017/07/01 17:30:00","49","３Ｆ（３Ｆ）","ミルキーミミ","2017/07/01 17:00:00"
"2017/07/01 13:00:00","7","エンターテイメントホール入口（１Ｆ）","マイメロディ","2017/07/01 12:30:00"
"2017/07/01 15:30:00","7","エンターテイメントホール入口（１Ｆ）","マイメロディ","2017/07/01 15:00:00"
"2017/07/01 18:00:00","7","エンターテイメントホール入口（１Ｆ）","マイメロディ","2017/07/01 17:30:00"
"2017/07/01 10:50:00","97","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","マイスウィートピアノ","2017/07/01 10:20:00"
"2017/07/01 18:00:00","97","３Ｆ（３Ｆ）","マイスウィートピアノ","2017/07/01 17:30:00"
"2017/07/01 19:30:00","97","３Ｆ（３Ｆ）","マイスウィートピアノ","2017/07/01 19:00:00"
"2017/07/01 14:30:00","117","３Ｆ（３Ｆ）","リトルフォレストフェロォ","2017/07/01 14:00:00"
"2017/07/01 16:00:00","117","３Ｆ（３Ｆ）","リトルフォレストフェロォ","2017/07/01 15:30:00"
"2017/07/01 11:30:00","52","４Ｆふわもこタウンシナモロールわごん付近（４Ｆ）","シナモン","2017/07/01 11:00:00"
"2017/07/01 13:00:00","52","４Ｆふわもこタウンシナモロールわごん付近（４Ｆ）","シナモン","2017/07/01 12:30:00"
"2017/07/01 12:00:00","19","４Ｆふわもこタウンシナモロールわごん付近（４Ｆ）","モカ","2017/07/01 11:30:00"
"2017/07/01 14:00:00","19","４Ｆふわもこタウンシナモロールわごん付近（４Ｆ）","モカ","2017/07/01 13:30:00"
"2017/07/01 11:30:00","26","エンターテイメントホール入口（１Ｆ）","ポムポムプリン","2017/07/01 11:00:00"
"2017/07/01 15:00:00","26","エンターテイメントホール入口（１Ｆ）","ポムポムプリン","2017/07/01 14:30:00"
"2017/07/01 17:30:00","116","エンターテイメントホール入口（１Ｆ）","りっぷ","2017/07/01 17:00:00"
"2017/07/01 19:00:00","62","エンターテイメントホール入口（１Ｆ）","ひまわり","2017/07/01 18:30:00"
"2017/07/01 19:00:00","66","３Ｆ（３Ｆ）","ローズ","2017/07/01 18:30:00"
"2017/07/01 10:50:00","45","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","あひるのペックル","2017/07/01 10:20:00"
